	3
$1	3
$200	1
$5000	3
1	3
10	2
11	1
11th	1
12	1
12th	1
13	1
13th	1
14	1
15	1
1500	3
16	1
17	1
18	1
1876	1
18th	1
19	1
19th	1
1A	3
1B	3
1C	3
1D	3
1E	3
1E1	3
1E2	3
1E3	3
1E4	3
1E5	3
1E6	3
1E7	3
1E8	3
1E9	3
1F	3
1F1	3
1F2	3
1F3	3
1F4	3
1F5	3
1F6	3
2	3
20	3
2001	3
2006	2
2008	1
2018	3
21	1
22	1
23	3
24	1
25	1
26th	1
27th	1
28th	1
2d	1
3	3
30	3
300	1
31st	1
4	3
4557	3
5	3
50	3
501c3	3
5961887	3
5th	1
6	1
60	3
646221541	3
7	1
74	1
740txt	1
740zip	1
76	1
760htm	1
760zip	1
7th	1
8	1
801	3
809	3
84	1
840txt	1
840zip	1
84116	3
9	1
90	3
99712	3
9th	1
A	3
AAMen	1
ABOUT	1
ACTUAL	3
ADVENTURES	2
AFTER	2
AGREE	3
AGREEMENT	3
AK	3
ALABAMA	1
AND	3
ANY	3
ANYTHING	3
AS	2
ASCII	3
ASIS	3
AT	1
AUTHOR	2
Ab	1
Abbey	1
Abhorred	1
Ablitionist	1
Abner	1
Abolitionist	1
About	3
Abram	1
Absence	1
Academy	1
According	1
Accordingly	1
Accursed	1
AcrobaticsAttending	1
Act	1
Acts	1
Adam	1
Adamhe	1
Adams	1
Additional	3
Adieu	1
Admission	1
Adolphus	1
Adolphusmeaning	1
Adored	1
Advantages	1
Adventures	2
Advises	1
Afeard	1
Afraid	1
Africa	1
African	1
After	3
Afterwards	1
Again	1
Against	1
Agatha	1
Agreed	1
Agrippa	1
Ah	3
Aha	1
Ain	1
Aint	2
Al	1
Alabama	1
Aladdins	1
Alarming	1
Alas	2
Albertus	1
Alfred	1
All	3
Almost	1
Along	1
Alphonse	1
Alpine	1
Alps	1
Also	2
Although	2
Am	1
Amen	2
America	3
American	1
Amidst	1
Amighty	1
Amiss	1
Among	2
Amusement	1
AmusementsTom	1
Amy	1
Amys	1
An	3
Anatomycarried	1
Ancestors	1
Ancient	1
And	3
Andes	1
Andrews	1
Andy	1
Angel	2
Angelicashe	1
Angelina	1
Anguish	1
Ann	1
Another	3
Answer	2
Antonette	1
Any	3
Anybody	2
Anyhow	1
Anyway	1
Anyways	1
Applausive	1
ApproachesHappy	1
Apthorps	1
Apthorpswhich	1
Arab	2
Arabbut	1
Arabian	1
Arabic	1
Arabs	1
Araminta	1
Archangel	1
Archibald	1
Archive	3
Ardor	1
Are	3
Ariosto	1
Arkansaw	1
ArkansawInterior	1
Arkansawnever	1
Armada	1
Armand	1
Arms	1
ArmsA	1
Around	2
AroundSailing	1
Arrived	1
ArrivesHand	1
Art	1
